LTE.ID,Site.ID,Code,Year.start,Year.end,Number of sites,Notes,Treatments,Version,DOI,Available in Saito,Latitude,Longitude
LTE0003,Adigudem,DK0054,2005,2011,1,NA,NA,2020,10.1016/j.still.2016.05.011,NA,13.23333,39.53333
LTE0103,"AfricaRice, Fanaye",JS0104,1991,2008,2,JS0104 has data from 1991 to 2000,NPK treatments,2018,10.1016/s0378-4290(03)00153-9,YES,16.5352,-15.1922
LTE0103,"AfricaRice, Fanaye",JS0102,1991,2008,2,JS0104 has data from 1991 to 2000,NPK treatments,2018,10.1007/s10705-010-9355-7,YES,16.5352,-15.1922
LTE0103,"AfricaRice, Ndiaye",JS0104,1991,2008,2,JS0104 has data from 1991 to 2000,NPK treatments,2018,10.1016/s0378-4290(03)00153-9,YES,16.233,-16.233
LTE0103,"AfricaRice, Ndiaye",JS0102,1991,2008,2,JS0104 has data from 1991 to 2000,NPK treatments,2018,10.1007/s10705-010-9355-7,YES,16.233,-16.233
LTE0007,Andranomanelatra,NN0148,1991,2003,1,NA,NA,2018,10.1016/j.still.2007.10.012,NA,-19.78333,47.1
LTE0104,"ARC Small Grain, Bethlehem",NN0168,1979,2010,1,NA,"36 ?eld treatments: two straw management treatments (burned and unburned), three tillage methods (ploughing, stubble mulch and no-tillage), two weed control methods (mechanical and chemical) and three levels of nitrogen fertilization in a factorial arrangement",2018,10.1007/s10705-012-9529-6,NA,-28.1619,28.3061
LTE0104,"ARC Small Grain, Bethlehem",LM0119,1979,2010,1,NA,"36 ?eld treatments: two straw management treatments (burned and unburned), three tillage methods (ploughing, stubble mulch and no-tillage), two weed control methods (mechanical and chemical) and three levels of nitrogen fertilization in a factorial arrangement",2018,10.1016/s0167-1987(01)00227-6,NA,-28.1619,28.3061
LTE0104,"ARC Small Grain, Bethlehem",EO0058,1979,2010,1,NA,"36 ?eld treatments: two straw management treatments (burned and unburned), three tillage methods (ploughing, stubble mulch and no-tillage), two weed control methods (mechanical and chemical) and three levels of nitrogen fertilization in a factorial arrangement",2020,10.1080/00103624.2013.867060,NA,-28.1619,28.3061
LTE0104,"ARC Small Grain, Bethlehem",NJ0089,1979,2010,1,NA,"36 ?eld treatments: two straw management treatments (burned and unburned), three tillage methods (ploughing, stubble mulch and no-tillage), two weed control methods (mechanical and chemical) and three levels of nitrogen fertilization in a factorial arrangement",2020,10.1071/SR18050,NA,-28.1619,28.3061
LTE0105,"ARC, Nietvoorbij",NN0159.2,1992,2004,1,NA,A treatment with full surface straw mulch combined with full surface  post-emergence chemical control applied from just before grapevine bud break to harvest (BB) and  another  with no cover crop combined with BB was also applied,2018,0,NA,-33.9147,18.8613
LTE0105,"ARC, Nietvoorbij",NN0159.3,1992,2004,1,NA,A treatment with full surface straw mulch combined with full surface  post-emergence chemical control applied from just before grapevine bud break to harvest (BB) and  another  with no cover crop combined with BB was also applied,2018,0,NA,-33.9147,18.8613
LTE0106,"ARC, Nietvoorbij",NN0184.1,1993,2003,1,NA,Eighteen treatments are reported on with respect to grapevine  performance (Table 1). An additional five treatments were applied  but considered as not pertinent to the present trial. Two cover crop  management practices were applied to eight cover crop species.,2018,0,NA,-33.9147,18.8613
LTE0106,"ARC, Nietvoorbij",NN0184.2,1993,2003,1,NA,Eighteen treatments are reported on with respect to grapevine  performance (Table 1). An additional five treatments were applied  but considered as not pertinent to the present trial. Two cover crop  management practices were applied to eight cover crop species.,2018,0,NA,-33.9147,18.8613
LTE0106,"ARC, Nietvoorbij",NN0184.3,1993,2003,1,NA,Eighteen treatments are reported on with respect to grapevine  performance (Table 1). An additional five treatments were applied  but considered as not pertinent to the present trial. Two cover crop  management practices were applied to eight cover crop species.,2018,0,NA,-33.9147,18.8613
LTE0106,"ARC, Nietvoorbij",LM0148,1993,2003,1,NA,Eighteen treatments are reported on with respect to grapevine  performance (Table 1). An additional five treatments were applied  but considered as not pertinent to the present trial. Two cover crop  management practices were applied to eight cover crop species.,2018,0,NA,-33.9147,18.8613
LTE0001,"ARDU, Asella",NN0190,1968,1980,1,NA,NA,2018,10.1017/S1357729800050657,NA,7.9311,39.1234
LTE0008,Ashoka,JS0401,NA,NA,3,no dates but 50 years,NA,2018,10.1007/s10705-013-9570-0,NA,7.29167,38.8
LTE0009,Awassa,NN0232,1996,2000,1,NA,NA,2018,10.2134/agronj2010.0493,NA,7.04,38.49
LTE0010,"Baraton, Nandi",LM0265,1987,1994,26,NA,NA,2018,10.1017/s0014479797000203,NA,0.20417,35.08658
LTE0011,Bengou,NN0026,1988,1992,3,NA,NA,2018,10.1017/s0021859699007650,NA,11.98333,3.5
LTE0008,Beseko,JS0401,NA,NA,3,no dates but 50 years,NA,2018,10.1007/s10705-013-9570-0,NA,7.325,38.81667
LTE0012,Beseku-IB,DK0055,2007,2012,3,NA,NA,2020,10.1016/j.agee.2014.06.017,NA,7.3333,38.8333
LTE0012,Beseku-KW,DK0055,2007,2012,3,NA,NA,2020,10.1016/j.agee.2014.06.017,NA,7.3333,38.8333
LTE0012,Beseku-TM,DK0055,2007,2012,3,NA,NA,2020,10.1016/j.agee.2014.06.017,NA,7.3333,38.8333
LTE0013,Breman,JS0072,1988,1995,3,NA,NA,2018,10.1017/s0014479797000215,NA,5.58333,-0.98333
LTE0107,Buffelsvlei,EO0064,2008,2014,1,NA,"a  maize monoculture under conventional mouldboard plough  tillage treatment (MMCT), which served as the control,  a maize monoculture under no-till treatment (MM-CA), a  cowpeamaize two-year rotation under no-till treatment  (2yr-CP-CA), a sunflowermaize two-year rotation under  no-till treatment (2yr-SF-CA), a pearl millet (Pennisetum  glaucum (L.) R.Br)cowpeamaize three-year rotation under  no-till treatment  (3yr-CP-CA), and a milletsunflowermaize  three-year rotation under no-till treatment (3yr-SF-CA).",2020,10.1080/02571862.2016.1213322,NA,-26.4949,26.602
LTE0158,Buffelsvlei,AN0060.1,NA,NA,1,minimum 6 years,"a  maize monoculture under conventional mouldboard plough  tillage treatment (MMCT), which served as the control,  a maize monoculture under no-till treatment (MM-CA), a  cowpeamaize two-year rotation under no-till treatment  (2yr-CP-CA), a sunflowermaize two-year rotation under  no-till treatment (2yr-SF-CA), a pearl millet (Pennisetum  glaucum (L.) R.Br)cowpeamaize three-year rotation under  no-till treatment  (3yr-CP-CA), and a milletsunflowermaize  three-year rotation under no-till treatment (3yr-SF-CA).",2020,10.1016/j.still.2018.05.016,NA,-26.4949,26.602
LTE0010,"Bugar, Elgeyo Marakwet",LM0265,1987,1994,26,NA,NA,2018,10.1017/s0014479797000203,NA,0.75389,35.50406
LTE0014,Bulegeni Agricultural Research and Development Center,DK0131,2008,2014,2,NA,NA,2020,10.2134/agronj2015.0608,NA,1.3,34.33333
LTE0108,Caffee Doonsaa,JS0274.1,1998,2003,1,NA,"Four methods of land preparation : ridges and furrows, broad bed and furrow, green manure, reduced tillage",2018,10.1079/sum2005319,NA,8.95,39.1
LTE0108,Caffee Doonsaa,JS0274.2,1998,2003,1,NA,"Four methods of land preparation : ridges and furrows, broad bed and furrow, green manure, reduced tillage",2018,10.1016/j.still.2005.01.009,NA,8.95,39.1
LTE0016,Central Plateau,JS0052,1986,1991,1,NA,NA,2018,10.1007/bf00705220,NA,-1.5,29.81
LTE0017,Chavakadzi,DK0006,2004,2015,2,NA,NA,2020,10.1017/S0021859616000095,NA,-17.2,31.48333
LTE0010,"Chebunyo, Kericho",LM0265,1987,1994,26,NA,NA,2018,10.1017/s0014479797000203,NA,-0.959,35.196
LTE0010,"Chepkumia, Nandi",LM0265,1987,1994,26,NA,NA,2018,10.1017/s0014479797000203,NA,0.135,34.955
LTE0109,Chikato,HK0313,2004,2010,2,"2 sites for HK0313, 1 site for AG0103","comparing two CA options (animal traction ripping and direct seeding) with a conventionally tilled control plot using a mouldboard plough were established in Zimbabwe, one in the area around Chikato village in the Zimuto Communal Area (Chikato), Masvingo Province (19.85S",NA,NA,NA,NA,NA
LTE0109,Chikato,AG0103,2004,2013,2,"2 sites for HK0313, 1 site for AG0103","comparing two CA options (animal traction ripping and direct seeding) with a conventionally tilled control plot using a mouldboard plough were established in Zimbabwe, one in the area around Chikato village in the Zimuto Communal Area (Chikato), Masvingo Province (19.85S",NA,NA,NA,NA,NA
LTE0168,Chikwaka,HK0294,NA,NA,NA,same article but different LTEs HK0294,"Improved-fallow legumes,  Acacia anguistissima, S. sesban, velvet beans (Mucuna pruriens), soyabean and Tephrosia vogeli, were planted in the plots  in December 2000. As controls, natural fallow and maize under  CT were also included.",2018,10.4314/wsa.v38i2.8,NA,-17.58333,31.23333
LTE0022,"Chinguluwe, Salima",HK0213.4,2005,2011,11,site is part of an LTE but duration < 5,"Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,10.1017/s0014479713000306,NA,-13.69,34.24
LTE0022,"Chinguluwe, Salima",HK0224,2005,2012,8,site is part of an LTE but duration < 5,"Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,10.1016/j.fcr.2012.11.010,NA,-13.69,34.24
LTE0029,Chinyika..Chiduku,HK0306.1,1992,2005,1,this site + 4 farm fields,"Conitnuous maize + fertilizers, continuous maize no fertilizer, T3    Groundnut + Maize + Maize + Groundnut + Maize + Maize +  Groundnut rotation (one crop per year) - Fertilizer on maize as in  T1, no fertilizer on groundnut.  T4   Groundnut + Maize + Maize + Groundnut + Maize + Maize +  Groundnut rotation (one crop per year) - No fertilizer applied.",2018,10.1017/s001447970100103x,NA,-18.33333,31.66667
LTE0029,Chinyika..Chiduku,HK0306.2,1992,2005,2,this site + 4 farm fields,"Conitnuous maize + fertilizers, continuous maize no fertilizer, T3    Groundnut + Maize + Maize + Groundnut + Maize + Maize +  Groundnut rotation (one crop per year) - Fertilizer on maize as in  T1, no fertilizer on groundnut.  T4   Groundnut + Maize + Maize + Groundnut + Maize + Maize +  Groundnut rotation (one crop per year) - No fertilizer applied.",2018,0,NA,-18.33333,31.66667
LTE0018,Chipala..Kazomba..Mbawa..Mhuju,HK0225,2004,2009,1,Mbawa and Mhuju plots of 5 years other plots are less years.,NA,2018,10.1007/s10705-012-9492-2,NA,-11.9,33.6
LTE0022,"Chipeni, Dowa",HK0213.4,2005,2011,11,NA,"Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,10.1017/s0014479713000306,NA,-13.76,34.05
LTE0022,"Chipeni, Dowa",HK0224,2005,2012,8,NA,"Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,10.1016/j.fcr.2012.11.010,NA,-13.76,34.05
LTE0137,Chiro,NN0334,1998,2006,3,NA,NA,2018,10.1016/j.livsci.2015.03.021,NA,11.14,39.63
LTE0022,Chisepo,HK0213.4,2005,2011,11,HK0213.4 and HK0224 have the same treatments but HK0213.4 has more locations.,"Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,10.1017/s0014479713000306,NA,-13.53333,33.51667
LTE0023,Chitedze ARS (LT CA Trial),HK0255.2,2005,2011,4,Domboshawa is also part of the experiment but there started in 2009,"Conventional control (CPM), Conservation Agriculture (CAM),Conservation agriculture (CAM + 2YR), Conservation agriculture (CAM+3YR)",2018,10.1080/14735903.2012.703894,NA,-13.97375,33.65276
LTE0024,Chitedze ARS LT CA Trial,AG0148,2008,2013,1,NA,NA,2020,10.1016/j.still.2014.05.003,NA,-13.97375,33.65276
LTE0025,Chongwe,JS0353,NA,NA,1,at least six years,NA,2018,10.1007/s10457-013-9632-y,NA,-15.42,28.88
LTE0015,"CIAT Trial Farm, Madeya",AN0129,1997,2013,1,NA,NA,2020,10.1007/s10705-015-9693-6,NA,0.14397,34.40381
LTE0026,Cinzana ARS,JS0003,1990,1998,2,same as above + tillage,"continuous cereal without residue return, continuous cereal with residue returned to the field every second year, cereal in rotation with cowpea (Vigna unguiculata), cereal in rotation with sesbania (Sesbania rostrata), and cereal in rotation with dolichos (Dolichos lablab). + open ridging and tied ridging",2018,10.1023/a:,NA,NA,NA
LTE0169,Cinzana ARS,NN0003,1990,1998,1,NA,"continuous cereal without residue return, continuous cereal with residue returned to the field every second year, cereal in rotation with cowpea (Vigna unguiculata), cereal in rotation with sesbania (Sesbania rostrata), and cereal in rotation with dolichos (Dolichos lablab).",2018,10.1007/s00374-003-0718-y,NA,13.279,-5.934
LTE0026,Cinzanan ARS,JS0003,1990,1998,2,NA,NA,2018,10.1023/a:,NA,NA,NA
LTE0013,"CRIG, New Tafo, Akyem",JS0072,1988,1995,3,NA,four levels of shade,2018,10.1017/s0014479797000215,NA,6.227,-0.3566
LTE0021,"CRIG, New Tafo, Akyem",JS0070,1963,1982,1,NA,four levels of shade,2018,10.1017/s0014479700001101,NA,6.227,-0.3566
LTE0027,Daqahlia..Sharkia,AG0121,2010,2014,1,NA,NA,2020,www.sphinxsai.com/2016/ch_vol9_no10/1/(20-30)V9N10CT.pdf,NA,31.05905,31.58804
LTE0029,Domboshava,HK0306.2,1992,2005,2,NA,NA,2018,0,NA,-18.16667,31.16667
LTE0041,Domboshawa Training Centre,NJ0067,2008,2014,4,NA,NA,2020,10.2135/cropsci2014.11.0796,NA,-17.607,31.141
LTE0042,Domboshawa Training Centre,HK0268,1989,1998,2,NA,"conventional tillage (CT), mulch ripping (MR), clean ripping (CR) and tied ridging (TR) for 9 years",2018,10.1016/j.still.2006.08.006,NA,-17.607,31.141
LTE0125,Domboshawa Training Centre,HK0294,1991,2001,3,4 different sites : 4 sites with different soil types. Conservation agri- culture practices evaluated were mulch reaping (MR) and clean reaping (CR) at Domboshawa with 5% clay and the Institute  of Agricultural Engineering (IAE) with 50% clay. The study also evaluated runoff losses from fallow plots subjected to no  tillage (NT) and conventional tillage (CT) at ICRAF Domboshawa site (20% clay) and fallows subjected to CT in Chikwaka,NA,NA,NA,NA,NA,NA
LTE0159,Domboshawa Training Centre,HK0308,1993,2006,1,NA,A factorial combination of row-intercrop plots at two NPK fertilizer rates was arranged in a randomized complete block design with two replicates,2018,10.1017/s0014479707003303,NA,-17.607,31.141
LTE0160,Domboshawa Training Centre,LM0346,2003,2009,1,NA,four different species for agroforestry and four different organic fert,2018,10.1111/aje.12153,NA,-17.607,31.141
LTE0160,Domboshawa Training Centre,AG0074,2002,2011,1,NA,Five different quality organic resources,2020,10.1371/journal.pone.0182840,NA,-17.607,31.141
LTE0174,Eastern Province,HK0240,NA,NA,1,five years,NA,2018,10.1080/03031853.2009.9523827,NA,-13.1,32.4
LTE0030,El Dali,NJ0037,2001,2010,2,NA,NA,2020,10.1007/s10457-016-0048-3,NA,12.89441,33.36579
LTE0030,El Mazmum,NJ0037,2001,2010,2,NA,NA,2020,10.1007/s10457-016-0048-3,NA,12.3368,33.48648
LTE0010,"Eldama Ravine, Baringo",LM0265,1987,1994,26,NA,NA,2018,10.1017/s0014479797000203,NA,0.03694,35.72769
LTE0031,Embu District,NJ0136,2002,2013,2,NA,NA,2020,10.1016/j.soilbio.2016.06.027,YES,-0.604,37.663
LTE0032,Embu District..Laikipia..Meru..Nanyuki,EO0113,NA,NA,1,NA,NA,2020,10.1016/j.ecoser.2018.03.004,NA,0.23185,37.32342
LTE0022,Enyezini,HK0213.4,2005,2011,11,HK0213.4 and HK0224 have the same treatments but HK0213.4 has more locations.,"Conventional control plot consisting of traditional ridge and furrow land preparation planted with continuous monocrop maize (CPM),CA plot with continuous monocrop maize (CAM), CA plot with maize intercropped with a legume",2018,10.1017/s0014479713000306,NA,-11.9,33.6
LTE0006,Evendissi,LM0008,2000,2005,2,NA,NA,2018,10.1080/01448765.2008.9755066,NA,3.43333,11.4
LTE0170,Gampela,EO0103,2007,2013,1,NA,NA,2020,10.1002/ldr.3033,NA,12.41667,-1.35
