Field.Name,Description,Source
temp_tmax_range,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmean_max,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmean_min,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmean_mean,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmean_var,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmean_sd,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_tmean_range,"Temperature in the window: min/max/mean statistics and heat-stress days above 35, 37.5 and 40 C (days, share, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
temp_Harvest.Start,Harvest date bounding the climate window (per climate table).,ERA geodata clim_stats_2025-08-14.1.RData
temp_Harvest.End,Harvest date bounding the climate window (per climate table).,ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_sum,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_eto_sum,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_eto_na,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_w_balance,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_w_balance_negdays,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_0.1.days,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_0.1.days_pr,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_0.1.max_seq,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_0.1.n_seq_d5,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_0.1.n_seq_d10,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_0.1.n_seq_d15,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_1.days,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_1.days_pr,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_1.max_seq,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_1.n_seq_d5,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_1.n_seq_d10,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_1.n_seq_d15,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_5.days,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_5.days_pr,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_5.max_seq,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_5.n_seq_d5,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_5.n_seq_d10,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_rain_l_5.n_seq_d15,"Rainfall in the window: total (mm), reference ET, water balance, and dry-spell counts for thresholds of 0.1, 1 and 5 mm/day (days, share of days, longest run, runs of 5/10/15+ days).",ERA geodata clim_stats_2025-08-14.1.RData
rain_Harvest.Start,Harvest date bounding the climate window (per climate table).,ERA geodata clim_stats_2025-08-14.1.RData
rain_Harvest.End,Harvest date bounding the climate window (per climate table).,ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_mean,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_median,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_min,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.5.days,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.5.days_pr,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.5.max_seq,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.5.n_seq_d5,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.5.n_seq_d10,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.5.n_seq_d15,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.25.days,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.25.days_pr,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.25.max_seq,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.25.n_seq_d5,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.25.n_seq_d10,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.25.n_seq_d15,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.1.days,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.1.days_pr,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.1.max_seq,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.1.n_seq_d5,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.1.n_seq_d10,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_eratio_l_0.1.n_seq_d15,"Evapotranspiration ratio (actual/potential) in the window: mean, median, min and drought-stress days below 0.5, 0.25 and 0.1.",ERA geodata clim_stats_2025-08-14.1.RData
eratio_Harvest.Start,Harvest date bounding the climate window (per climate table).,ERA geodata clim_stats_2025-08-14.1.RData
eratio_Harvest.End,Harvest date bounding the climate window (per climate table).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_sum,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_mean,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_median,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_present_mean,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_0.days,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_0.days_pr,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_0.max_seq,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_0.n_seq_d5,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_0.n_seq_d10,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_0.n_seq_d15,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_ssat_0.5.days,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_ssat_0.5.days_pr,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_ssat_0.5.max_seq,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_ssat_0.5.n_seq_d5,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_ssat_0.5.n_seq_d10,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_ssat_0.5.n_seq_d15,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_ssat_0.9.days,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_ssat_0.9.days_pr,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_ssat_0.9.max_seq,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_ssat_0.9.n_seq_d5,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_ssat_0.9.n_seq_d10,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_logging_g_ssat_0.9.n_seq_d15,Waterlogging indicators in the window (ERA geodata).,ERA geodata clim_stats_2025-08-14.1.RData
logging_Harvest.Start,Harvest date bounding the climate window (per climate table).,ERA geodata clim_stats_2025-08-14.1.RData
logging_Harvest.End,Harvest date bounding the climate window (per climate table).,ERA geodata clim_stats_2025-08-14.1.RData
