Field.Name,Description,Source
TSP,Total seasonal precipitation (mm) for the location in the season corresponding to the outcome data,ERA (eragri::ERACompiledFields)
Soil.Type,List the given soil classification/name in lowercase letters. If more than one soil type is given (within the same taxonomic system) enter both separated by a period ‘.’,ERA (eragri::ERACompiledFields)
Soil.Classification,"List the taxonomic system used to classify the soil. Choose from {FAO, USDA, other}.",ERA (eragri::ERACompiledFields)
Soil.Texture,"List the soil texture provided in the text or in tables in lowercase letters. If no texture is named, but % of sand, silt and clay are given, use the soil texture triangle to estimate soil texture (https://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/survey/?cid=nrcs142p2_054167).",ERA (eragri::ERACompiledFields)
SOC,"Soil organic carbon. If multiple soil depths are reported, use 0-20 cm, or the closest reported value. Do NOT use soil organic matter (SOM) or total carbon (TSC) measurements here.",ERA (eragri::ERACompiledFields)
SOC.Unit,Units provided for soil organic carbon. Usually either g/kg or % (also can be density kg/m3 or stocks t/ha),ERA (eragri::ERACompiledFields)
SOC.Depth,"Concatenate min (top) and max (bottom) depths user entered with a """"-"""", e.g. 0-10.",ERA (eragri::ERACompiledFields)
Soil.pH,"Soil pH value derived during site characterization. If multiple methods for pH are given, report the water (H2O) method.",ERA (eragri::ERACompiledFields)
Soil.pH.Method,Method used to calculate soil pH.,ERA (eragri::ERACompiledFields)
Plant.Start,Starting of planting period (dd.mm.yyyy),ERA (eragri::ERACompiledFields)
Plant.End,End of planting period (dd.mm.yyyy),ERA (eragri::ERACompiledFields)
Harvest.Start,Starting of harvest period (dd.mm.yyyy),ERA (eragri::ERACompiledFields)
Harvest.End,End of harvest period (dd.mm.yyyy),ERA (eragri::ERACompiledFields)
Rep,"The number of replicates for the treatments. If the number varies between treatments, use the lowest number. If no number is given, leave blank.",ERA (eragri::ERACompiledFields)
Plot.Size,"The size of the smallest treatment plot unit in m2. If plot dimensions are given, calculate the area in m2. For example, if the size of the subplots is 6m x 4m, the Plot.Size is 24 (m2).",ERA (eragri::ERACompiledFields)
CID,"A unique identifier (within study) describing a set of management practices that occurred in the control which is used to identify the treatment combinations tested, to allow comparison across outcomes in a paper. A default system of T1, T2, T3, etc. can be used. CID should describe the treatment used as the control for this observation.",ERA (eragri::ERACompiledFields)
C.Descrip,[Superceded by C.Descrip.Clean column] Free text description of the control treatment. Use sufficient detail to easily identify the practices.,ERA (eragri::ERACompiledFields)
C.NI,Amount of inorganic (chemical) nitrogen applied to control plots in kg/ha,ERA (eragri::ERACompiledFields)
C.NO,"Amount of nitrogen in organic materials (manures or compost, but not residues) applied to control plots, preferably in kg/ha. If no nitrogen content is provided, please list amount of organic manure applied with a ‘t’ to symbolize tonnes.",ERA (eragri::ERACompiledFields)
TID,"A unique identifier (within study) describing a set of management practices that occurred in treatment which is used to identify the treatment combinations tested, to allow comparison across outcomes in a paper. A default system of T1, T2, T3, etc. can be used. TID should describe the treatment used as the control for this observation.",ERA (eragri::ERACompiledFields)
T.Descrip,[Superceded by T.Descrip.Clean column] Free text description of the CSA treatment. Use sufficient detail to easily identify all the component practices.,ERA (eragri::ERACompiledFields)
T.NI,Amount of inorganic (chemical) nitrogen (N) applied to CSA treatment in kg/ha,ERA (eragri::ERACompiledFields)
T.NO,"Amount of nitrogen (N) in organic materials (manures or compost) applied to CSA treatment, preferably in kg/ha. If no nitrogen content is provided, please list amount of organic manure applied with a ‘t’ to symbolize tonnes.",ERA (eragri::ERACompiledFields)
Diversity,"Name of species in intercrop or rotations including the crop, first letter of name capitilized and the rest lowercase. Use a dash (-) for intercrops and forward slash (/) for rotation. Use common names of species, unless agroforestry species, then use scientific name. This should be used for both crop and agroforestry intercroppings.",ERA (eragri::ERACompiledFields)
Variety,Commercial name of the crop or animal variety. Do not include the type of crop or animal in field (e.g. Maasai Red Goats should be Maasai Red).,ERA (eragri::ERACompiledFields)
Tree,"Name of tree species used in agroforestry experiments, can be both as an intercrop or as an agroforestry mulch. Please use scientific name and be careful of your spelling. Use full scientific name, do not abbreviate genus (e.g., Mangifera indica should not be abbreviated to M.indica).",ERA (eragri::ERACompiledFields)
Duration,"Length of time the experiment has been ongoing up to the date the data are being reported for in years. In bimodal rainfall systems with multiple growing seasons, seasons are identified by fractions of the year, 0.5, etc. If outcomes are reported in a unimodal rainfall system with one growing season per year, the duration can be equivalent to one year.",ERA (eragri::ERACompiledFields)
M.Year,The calendar year the measurement was taken. Seasons in multi-season systems are identified by decimals ‘.1’ or ‘.2’ for the first and second season respectively. When the measurements are average values for more than one year create a decimal for the years covered.,ERA (eragri::ERACompiledFields)
M.Year.Start,First year the measurement was taken (YYYY). For yield or similar outcomes this should relate to the harvest year (rather than the planting year). Where data are aggregated across years also complete the Measurement End Year Field.,ERA (eragri::ERACompiledFields)
M.Year.End,"This only required for temporally aggregated observations (e.g. a result that has been averaged from crop yields reported from 2000,2001 and 2002). Here report the last year of the period over for which observations were aggregated (in the previous example this would be 2002).",ERA (eragri::ERACompiledFields)
Season.Start,"This only required in areas where there are mutiple growing seasons in a year (e.g., areas with bimodal rainfall or irrigated cropping in dry seasons of a unimodal system).
Leave blank where there is only one growing season per year or no seasonal information is presented with the data.
Code the season in order 1,2,etc. Determine the season sequence by harvest year. If there are two cropping seasons, with crops harvested in Feb and Sept, Feb = season 1 and Sept = season 2.",ERA (eragri::ERACompiledFields)
Season.End,"This only required for temporally aggregated observations in areas with more than one growing season (e.g. a result that has been averaged from crop yields reported from 2000 season 1,2001 season 1 and 2002 season 1). Here report the last season of the period over for which observations were aggregated (in the previous example this would be 1).",ERA (eragri::ERACompiledFields)
EU,The experimental unit (EU) for which experiment outcomes are reported. This usually a crop or animal product. For cookstove papers it may be a cookstove. The EU for soil outcomes should be the crop(s) grown on the soil unless no crops are grown at all. Letters in the code should be lowercase. If the outcome refers to multiple experimental units (e.g. soil outcomes during an intercropping experiment) select all experimental units separated by a period (see EU2 tab).,ERA (eragri::ERACompiledFields)
Outcode,"The productivity, resilience, or mitigation outcome indicator that data are being reported on (see OUTCOMES2 tab).",ERA (eragri::ERACompiledFields)
Units,Free text description of the units of the data being reported without special characters or formatting.,ERA (eragri::ERACompiledFields)
MeanC,"The value that corresponds to the control treatment and outcome. Please standard yields to t/ha where appropropriate, keeping as many decimal places as there is data for.",ERA (eragri::ERACompiledFields)
